Sede,Operador,Servicio,Tensión,nov-2025,dic-2025,ene-2026,feb-2026,mar-2026,abr-2026
ARMENIA,Neu,Regulado,1,7508,7508,7508,7508,7508,7508
BARRANQUILLITA MEDIO MAYOREO 1,Neu,Regulado,1,22158,22158,22158,22158,22158,22158
BARRIO ABAJO,Neu,Regulado,1,22964,22964,22964,22964,22964,22964
CENTRO LOGISTICO TOCANCIPA 31,Neu,Regulado,1,1365,1365,1365,1365,1365,1365
GAITAN MEDIO MAYOREO,Neu,Regulado,1,2670,2670,2670,2670,2670,2670
GAITAN SUPERMERCADO,Neu,Regulado,1,12309,12309,12309,12309,12309,12309
IBAGUE LA 28,Neu,Regulado,1,15239,15239,15239,15239,15239,15239
IBAGUE LA PICALEÑA MEDIO MAYOREO,Neu,Regulado,1,20063,20063,20063,20063,20063,20063
MANIZALES,Neu,Regulado,1,5148,5148,5148,5148,5148,5148
NEIVA CENTRO,Neu,Regulado,1,13384,13384,13384,13384,13384,13384
NEIVA MEDIO MAYOREO,Neu,Regulado,1,24295,24295,24295,24295,24295,24295
PITALITO MEDIO MAYOREO,Neu,Regulado,1,2300,2300,2300,2300,2300,2300
SANTA MARTA MEDIO MAYOREO 1,Neu,Regulado,1,26674,26674,26674,26674,26674,26674
SANTA MARTA RODADERO,Neu,Regulado,1,25459,25459,25459,25459,25459,25459
SUBA,Neu,Regulado,1,16395,16395,16395,16395,16395,16395
TOCANCIPA,Neu,Regulado,1,5,5,5,5,5,5
TUNJUELITO,Neu,Regulado,1,12650,12650,12650,12650,12650,12650
VALLEDUPAR LA 44 MEDIO MAYOREO,Neu,Regulado,1,20238,20238,20238,20238,20238,20238
VEINTE DE JULIO,Neu,Regulado,2,6047,6047,6047,6047,6047,6047
VILLA ALSACIA,Neu,Regulado,1,11636,11636,11636,11636,11636,11636
VILLA DEL PRADO,Neu,Regulado,1,4275,4275,4275,4275,4275,4275
VILLA DEL PRADO,Neu,Regulado,1,3679,3679,3679,3679,3679,3679
